Time	Step	submit
1562522196.517653	132	14.997318
1562522196.517653	132	14.997318
1562522196.986291	133	14.997586
1562522196.986291	133	14.997586
1562522197.455153	134	14.997827
1562522197.455153	134	14.997827
1562522198.014285	135	14.998045
1562522198.014285	135	14.998045
1562522198.489539	136	14.998240
1562522198.489539	136	14.998240
1562522198.998597	137	14.998416
1562522198.998597	137	14.998416
1562522199.479191	138	14.998575
1562522199.479191	138	14.998575
1562522199.971325	139	14.998717
1562522199.971325	139	14.998717
1562522200.481261	140	14.998845
1562522200.481261	140	14.998845
1562522200.997597	141	14.998961
1562522200.997597	141	14.998961
1562522201.478078	142	14.999065
1562522201.478078	142	14.999065
1562522202.028109	143	14.999158
1562522202.028109	143	14.999158
1562522202.510815	144	14.999242
1562522202.510815	144	14.999242
1562522203.016634	145	14.999318
1562522203.016634	145	14.999318
1562522203.528421	146	14.999386
1562522203.528421	146	14.999386
1562522204.013883	147	14.999448
1562522204.013883	147	14.999448
1562522204.548790	148	14.999503
1562522204.867210	149	2.000000
1562522204.971968	150	2.000000
1562522205.093504	151	2.000000
